subject_id,frame_idx,phase,trial_id,stim_pair_id,elapsed_time,global_time,flip_time,event_marker
006,0,phase_1,0,block0_phase_1_t00,0.0,30.447775,70.302389,iti_onset_dur_1.524
006,1,phase_1,0,block0_phase_1_t00,0.012152,30.459902,70.314541,
006,2,phase_1,0,block0_phase_1_t00,0.028996,30.476765,70.331385,
006,3,phase_1,0,block0_phase_1_t00,0.04563,30.493605,70.348019,
006,4,phase_1,0,block0_phase_1_t00,0.062591,30.510414,70.36498,
006,5,phase_1,0,block0_phase_1_t00,0.079362,30.527261,70.381751,
006,6,phase_1,0,block0_phase_1_t00,0.09561,30.543685,70.397999,
006,7,phase_1,0,block0_phase_1_t00,0.112378,30.560157,70.414767,
006,8,phase_1,0,block0_phase_1_t00,0.129133,30.576978,70.431522,
006,9,phase_1,0,block0_phase_1_t00,0.146097,30.593998,70.448486,
006,10,phase_1,0,block0_phase_1_t00,0.162923,30.610965,70.465312,
006,11,phase_1,0,block0_phase_1_t00,0.179831,30.628196,70.48222,
006,12,phase_1,0,block0_phase_1_t00,0.19594,30.643852,70.498329,
006,13,phase_1,0,block0_phase_1_t00,0.212564,30.660434,70.514953,
006,14,phase_1,0,block0_phase_1_t00,0.229726,30.678074,70.532115,
006,15,phase_1,0,block0_phase_1_t00,0.24579,30.693649,70.548179,
006,16,phase_1,0,block0_phase_1_t00,0.262129,30.709961,70.564519,
006,17,phase_1,0,block0_phase_1_t00,0.278926,30.726805,70.581315,
006,18,phase_1,0,block0_phase_1_t00,0.296266,30.744172,70.598655,
006,19,phase_1,0,block0_phase_1_t00,0.312489,30.760317,70.614878,
006,20,phase_1,0,block0_phase_1_t00,0.329391,30.777173,70.63178,
006,21,phase_1,0,block0_phase_1_t00,0.345842,30.793666,70.648231,
006,22,phase_1,0,block0_phase_1_t00,0.363269,30.81118,70.665658,
006,23,phase_1,0,block0_phase_1_t00,0.379664,30.827566,70.682053,
006,24,phase_1,0,block0_phase_1_t00,0.396414,30.844282,70.698803,
006,25,phase_1,0,block0_phase_1_t00,0.412901,30.861047,70.71529,
006,26,phase_1,0,block0_phase_1_t00,0.429806,30.877755,70.732195,
006,27,phase_1,0,block0_phase_1_t00,0.445828,30.894137,70.748217,
006,28,phase_1,0,block0_phase_1_t00,0.462504,30.910359,70.764893,
006,29,phase_1,0,block0_phase_1_t00,0.47933,30.927213,70.781719,
006,30,phase_1,0,block0_phase_1_t00,0.496069,30.943935,70.798458,
006,31,phase_1,0,block0_phase_1_t00,0.512573,30.960517,70.814962,
006,32,phase_1,0,block0_phase_1_t00,0.529364,30.977298,70.831753,
006,33,phase_1,0,block0_phase_1_t00,0.545938,30.993799,70.848327,
006,34,phase_1,0,block0_phase_1_t00,0.563004,31.011042,70.865394,
006,35,phase_1,0,block0_phase_1_t00,0.579506,31.027364,70.881895,
006,36,phase_1,0,block0_phase_1_t00,0.596394,31.044301,70.898783,
006,37,phase_1,0,block0_phase_1_t00,0.612901,31.060923,70.91529,
006,38,phase_1,0,block0_phase_1_t00,0.629538,31.077399,70.931927,
006,39,phase_1,0,block0_phase_1_t00,0.646513,31.094441,70.948902,
006,40,phase_1,0,block0_phase_1_t00,0.662893,31.110867,70.965282,
006,41,phase_1,0,block0_phase_1_t00,0.680017,31.128219,70.982406,
006,42,phase_1,0,block0_phase_1_t00,0.696413,31.144271,70.998802,
006,43,phase_1,0,block0_phase_1_t00,0.712407,31.160261,71.014796,
006,44,phase_1,0,block0_phase_1_t00,0.729804,31.177756,71.032193,
006,45,phase_1,0,block0_phase_1_t00,0.745838,31.193968,71.048227,
006,46,phase_1,0,block0_phase_1_t00,0.762546,31.210412,71.064935,
006,47,phase_1,0,block0_phase_1_t00,0.779685,31.228081,71.082074,
006,48,phase_1,0,block0_phase_1_t00,0.796679,31.24458,71.099068,
006,49,phase_1,0,block0_phase_1_t00,0.812795,31.26075,71.115184,
006,50,phase_1,0,block0_phase_1_t00,0.829816,31.277752,71.132205,
006,51,phase_1,0,block0_phase_1_t00,0.846279,31.29429,71.148669,
006,52,phase_1,0,block0_phase_1_t00,0.863085,31.310965,71.165474,
006,53,phase_1,0,block0_phase_1_t00,0.879647,31.327509,71.182036,
006,54,phase_1,0,block0_phase_1_t00,0.896269,31.34423,71.198658,
006,55,phase_1,0,block0_phase_1_t00,0.91287,31.361222,71.215259,
006,56,phase_1,0,block0_phase_1_t00,0.929864,31.378048,71.232253,
006,57,phase_1,0,block0_phase_1_t00,0.946403,31.394293,71.248792,
006,58,phase_1,0,block0_phase_1_t00,0.962482,31.410408,71.264871,
006,59,phase_1,0,block0_phase_1_t00,0.979258,31.427225,71.281647,
006,60,phase_1,0,block0_phase_1_t00,0.995836,31.443685,71.298225,
006,61,phase_1,0,block0_phase_1_t00,1.012822,31.460775,71.315211,
006,62,phase_1,0,block0_phase_1_t00,1.029181,31.477099,71.33157,
006,63,phase_1,0,block0_phase_1_t00,1.045518,31.493433,71.347907,
006,64,phase_1,0,block0_phase_1_t00,1.062208,31.510045,71.364597,
006,65,phase_1,0,block0_phase_1_t00,1.078817,31.526693,71.381206,
006,66,phase_1,0,block0_phase_1_t00,1.095438,31.54328,71.397827,
006,67,phase_1,0,block0_phase_1_t00,1.112123,31.559965,71.414512,
006,68,phase_1,0,block0_phase_1_t00,1.128692,31.576483,71.431081,
006,69,phase_1,0,block0_phase_1_t00,1.145629,31.59412,71.448018,
006,70,phase_1,0,block0_phase_1_t00,1.162255,31.610148,71.464644,
006,71,phase_1,0,block0_phase_1_t00,1.179003,31.626805,71.481392,
